00000000000i[MEM0 ] allocated memory at 00BE0020. after alignment, vector=00BE1000
00000000000i[MEM0 ] 32.00MB
00000000000i[MEM0 ] rom at 0xf0000/65536 ('../BIOS-bochs-latest')
00000000000i[MEM0 ] rom at 0xc0000/32769 ('../VGABIOS-elpin-2.40')
00000000000i[CMOS ] Setting initial clock to: Mon May 19 14:33:13 2003 (time0=1053334993)
00000000000i[DMA  ] channel 4 used by cascade
00000000000i[DMA  ] channel 2 used by Floppy Drive
00000000000i[FDD  ] fd0: 'menuet.img' ro=0, h=2,t=80,spt=18
00000000000i[KMAP ] Loading keymap from '../keymaps/x11-pc-us.map'
00000000000i[KMAP ] Loaded 168 symbols
00000000000i[VGA  ] interval=30000
00000000000i[VGA  ] VBE Bochs Display Extension Enabled
00000000000i[     ] init_mem of 'harddrv' plugin device by virtual method
00000000000i[     ] init_mem of 'keyboard' plugin device by virtual method
00000000000i[     ] init_mem of 'serial' plugin device by virtual method
00000000000i[     ] init_mem of 'parallel' plugin device by virtual method
00000000000i[     ] init_dev of 'harddrv' plugin device by virtual method
00000000000i[HD   ] Boot device will be 'a'
00000000000i[HD   ] Floppy boot signature check is enabled
00000000000i[     ] init_dev of 'keyboard' plugin device by virtual method
00000000000i[KBD  ] will paste characters every 1000 keyboard ticks
00000000000i[     ] init_dev of 'serial' plugin device by virtual method
00000000000i[SER  ] com1 at 0x3f8/8 irq 4
00000000000i[     ] init_dev of 'parallel' plugin device by virtual method
00000000000i[PAR  ] parallel port 1 at 0x378
00000000000i[     ] reset of 'harddrv' plugin device by virtual method
00000000000i[     ] reset of 'keyboard' plugin device by virtual method
00000000000i[     ] reset of 'serial' plugin device by virtual method
00000000000i[     ] reset of 'parallel' plugin device by virtual method
00000004256i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
00000330043i[KBD  ] reset-disable command received
00000506792e[HD   ] device set to 0 which does not exist
00000507085e[HD   ] device set to 1 which does not exist
00304494012i[FDD  ] increment_sector: clamping cylinder to max
00750316000i[VGA  ] Changing timer interval to 3000

-0775436499i[KBD  ] system reset
-0775436499e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0775436499i[     ] reset of 'harddrv' plugin device by virtual method
-0775436499i[     ] reset of 'keyboard' plugin device by virtual method
-0775436499i[     ] reset of 'serial' plugin device by virtual method
-0775436499i[     ] reset of 'parallel' plugin device by virtual method
-0653432936i[BIOS ] *** int 15h function AX=5304, BX=0000 not yet supported!
-0653428523i[BIOS ] *** int 15h function AX=5302, BX=0000 not yet supported!
-0653424109i[BIOS ] *** int 15h function AX=5308, BX=0001 not yet supported!
-0653419696i[BIOS ] *** int 15h function AX=530D, BX=0001 not yet supported!
-0653415283i[BIOS ] *** int 15h function AX=530F, BX=0001 not yet supported!
-0653410870i[BIOS ] *** int 15h function AX=530E, BX=0000 not yet supported!
-0653406456i[BIOS ] *** int 15h function AX=5307, BX=0001 not yet supported!
-0653402030i[BIOS ] *** int 15h function AX=5304, BX=0000 not yet supported!
-0653397617i[BIOS ] *** int 15h function AX=5302, BX=0000 not yet supported!
-0653393203i[BIOS ] *** int 15h function AX=5308, BX=0001 not yet supported!
-0653388790i[BIOS ] *** int 15h function AX=530D, BX=0001 not yet supported!
-0653384377i[BIOS ] *** int 15h function AX=530F, BX=0001 not yet supported!
-0653379964i[BIOS ] *** int 15h function AX=530E, BX=0000 not yet supported!
-0653375550i[BIOS ] *** int 15h function AX=5307, BX=0001 not yet supported!
-0653371124i[BIOS ] *** int 15h function AX=5304, BX=0000 not yet supported!
-0653366711i[BIOS ] *** int 15h function AX=5302, BX=0000 not yet supported!
-0653362297i[BIOS ] *** int 15h function AX=5308, BX=0001 not yet supported!
-0653357884i[BIOS ] *** int 15h function AX=530D, BX=0001 not yet supported!
-0653353471i[BIOS ] *** int 15h function AX=530F, BX=0001 not yet supported!
-0653349058i[BIOS ] *** int 15h function AX=530E, BX=0000 not yet supported!
-0653344644i[BIOS ] *** int 15h function AX=5307, BX=0001 not yet supported!
-0653340218i[BIOS ] *** int 15h function AX=5304, BX=0000 not yet supported!
-0653335805i[BIOS ] *** int 15h function AX=5302, BX=0000 not yet supported!
-0653331391i[BIOS ] *** int 15h function AX=5308, BX=0001 not yet supported!
-0653326978i[BIOS ] *** int 15h function AX=530D, BX=0001 not yet supported!
-0653322565i[BIOS ] *** int 15h function AX=530F, BX=0001 not yet supported!
-0653318152i[BIOS ] *** int 15h function AX=530E, BX=0000 not yet supported!
-0653313738i[BIOS ] *** int 15h function AX=5307, BX=0001 not yet supported!
-0653309312i[BIOS ] *** int 15h function AX=5304, BX=0000 not yet supported!
-0653304899i[BIOS ] *** int 15h function AX=5302, BX=0000 not yet supported!
-0653300485i[BIOS ] *** int 15h function AX=5308, BX=0001 not yet supported!
